"CELL_LINE_NAME","DRUG_ID","DRUG_NAME","LN_IC50"
"VMRCRCZ",1001,"AICA Ribonucleotide",8.376975
"NCIH1838",1001,"AICA Ribonucleotide",9.804955
"COLO680N",1001,"AICA Ribonucleotide",7.77981
"KYSE270",1001,"AICA Ribonucleotide",7.558028
"OV17R",1001,"AICA Ribonucleotide",11.164147
"TE11",1001,"AICA Ribonucleotide",4.407174
"TE1",1001,"AICA Ribonucleotide",4.034283
"RERFLCKJ",1001,"AICA Ribonucleotide",8.244457
"KYSE180",1001,"AICA Ribonucleotide",5.994806
"SKOV3",1001,"AICA Ribonucleotide",8.518459
"NCIH647",1001,"AICA Ribonucleotide",7.636272
"NCIH2085",1001,"AICA Ribonucleotide",7.154244
"RCC10RGB",1001,"AICA Ribonucleotide",11.547997
"CORL105",1001,"AICA Ribonucleotide",8.627695
"NCIH1573",1001,"AICA Ribonucleotide",5.9855
"EFO21",1001,"AICA Ribonucleotide",10.55716
"RERFGC1B",1001,"AICA Ribonucleotide",7.724821
"HCC1569",1001,"AICA Ribonucleotide",7.038833
"JEG3",1001,"AICA Ribonucleotide",7.184834
"EBC1",1001,"AICA Ribonucleotide",7.717873
"OC314",1001,"AICA Ribonucleotide",9.026961
"RT112",1001,"AICA Ribonucleotide",7.454453
"MFE280",1001,"AICA Ribonucleotide",9.274075
"IGROV1",1001,"AICA Ribonucleotide",9.548229
"HCC1806",1001,"AICA Ribonucleotide",5.961988
"A253",1001,"AICA Ribonucleotide",7.961297
"NCIH2228",1001,"AICA Ribonucleotide",7.787183
"PANC0203",1001,"AICA Ribonucleotide",7.303876
"CAL54",1001,"AICA Ribonucleotide",8.271141
"NCIH2347",1001,"AICA Ribonucleotide",8.405961
"OSRC2",1001,"AICA Ribonucleotide",7.873863
"NCIH2087",1001,"AICA Ribonucleotide",8.250981
"TE8",1001,"AICA Ribonucleotide",6.899094
"NCIH358",1001,"AICA Ribonucleotide",7.756517
"FADU",1001,"AICA Ribonucleotide",7.044583
"VAESBJ",1001,"AICA Ribonucleotide",6.92393
"NCIH2110",1001,"AICA Ribonucleotide",8.88353
"OVCAR4",1001,"AICA Ribonucleotide",6.97538
"NCIH2122",1001,"AICA Ribonucleotide",6.335804
"BT20",1001,"AICA Ribonucleotide",7.403312
"HCC15",1001,"AICA Ribonucleotide",7.924442
"HSC3",1001,"AICA Ribonucleotide",5.622805
"JHH1",1001,"AICA Ribonucleotide",9.558873
"NCIH2030",1001,"AICA Ribonucleotide",6.985132
"MDAMB468",1001,"AICA Ribonucleotide",7.623379
"SW780",1001,"AICA Ribonucleotide",7.807627
"OV56",1001,"AICA Ribonucleotide",8.01009
"NUGC3",1001,"AICA Ribonucleotide",7.878449
"NCIH1568",1001,"AICA Ribonucleotide",7.226883
"OVKATE",1001,"AICA Ribonucleotide",8.840213
"NCIH3122",1001,"AICA Ribonucleotide",8.968849
"KP2",1001,"AICA Ribonucleotide",6.251583
"TE15",1001,"AICA Ribonucleotide",7.169878
"COLO678",1001,"AICA Ribonucleotide",8.039211
"KOSC2",1001,"AICA Ribonucleotide",6.487368
"OVTOKO",1001,"AICA Ribonucleotide",7.304217
"BICR22",1001,"AICA Ribonucleotide",6.26933
"OV90",1001,"AICA Ribonucleotide",9.912619
"BPH1",1001,"AICA Ribonucleotide",7.316424
"NCIH2009",1001,"AICA Ribonucleotide",6.813018
"NCIH1793",1001,"AICA Ribonucleotide",8.108123
"PC14",1001,"AICA Ribonucleotide",6.440312
"A498",1001,"AICA Ribonucleotide",9.419986
"A388",1001,"AICA Ribonucleotide",7.685613
"TE5",1001,"AICA Ribonucleotide",8.728231
"OVCAR5",1001,"AICA Ribonucleotide",8.803931
"NCIH292",1001,"AICA Ribonucleotide",9.091885
"TOV21G",1001,"AICA Ribonucleotide",7.408505
"NCIH1355",1001,"AICA Ribonucleotide",7.89531
"SCC9",1001,"AICA Ribonucleotide",9.023736
"NCIH2405",1001,"AICA Ribonucleotide",9.553102
"JAR",1001,"AICA Ribonucleotide",6.708279
"PSN1",1001,"AICA Ribonucleotide",6.787364
"NCIH2023",1001,"AICA Ribonucleotide",7.01238
"ACHN",1001,"AICA Ribonucleotide",6.954821
"SU8686",1001,"AICA Ribonucleotide",8.175756
"SKN",1001,"AICA Ribonucleotide",8.21959
"BFTC909",1001,"AICA Ribonucleotide",7.884083
"YKG1",1001,"AICA Ribonucleotide",6.477155
"LOUNH91",1001,"AICA Ribonucleotide",7.759723
"LCLC103H",1001,"AICA Ribonucleotide",7.653994
"U87MG",1001,"AICA Ribonucleotide",8.575435
"AM38",1001,"AICA Ribonucleotide",6.585805
"SF295",1001,"AICA Ribonucleotide",10.017972
"SKNAS",1001,"AICA Ribonucleotide",7.973522
"GAMG",1001,"AICA Ribonucleotide",6.761023
"LXF289",1001,"AICA Ribonucleotide",8.156059
"SW1573",1001,"AICA Ribonucleotide",9.457394
"IALM",1001,"AICA Ribonucleotide",6.863109
"RH18",1001,"AICA Ribonucleotide",7.951111
"KALS1",1001,"AICA Ribonucleotide",7.343645
"NCIH650",1001,"AICA Ribonucleotide",8.422849
"RKO",1001,"AICA Ribonucleotide",8.059634
"NCIH1755",1001,"AICA Ribonucleotide",7.87303
"NCIH2052",1001,"AICA Ribonucleotide",7.729723
"LN18",1001,"AICA Ribonucleotide",8.430159
"T98G",1001,"AICA Ribonucleotide",8.028654
"NOS1",1001,"AICA Ribonucleotide",6.27092
"SW1271",1001,"AICA Ribonucleotide",10.526966
"SJSA1",1001,"AICA Ribonucleotide",7.233505
"U118MG",1001,"AICA Ribonucleotide",7.02489
"SW1088",1001,"AICA Ribonucleotide",9.097665
"ISTMES1",1001,"AICA Ribonucleotide",10.17941
"NCIH2172",1001,"AICA Ribonucleotide",8.863198
"SF539",1001,"AICA Ribonucleotide",8.322651
"CAL72",1001,"AICA Ribonucleotide",6.984464
"SKHEP1",1001,"AICA Ribonucleotide",7.389913
"SF268",1001,"AICA Ribonucleotide",8.887324
"SKLMS1",1001,"AICA Ribonucleotide",7.155567
"H4",1001,"AICA Ribonucleotide",9.036984
"NCIH1915",1001,"AICA Ribonucleotide",5.841036
"GI1",1001,"AICA Ribonucleotide",9.288557
"J82",1001,"AICA Ribonucleotide",8.138466
"KP4",1001,"AICA Ribonucleotide",9.371504
"HOS",1001,"AICA Ribonucleotide",7.640756
"ES2",1001,"AICA Ribonucleotide",7.024156
"RPMI7951",1001,"AICA Ribonucleotide",7.031171
"MG63",1001,"AICA Ribonucleotide",8.054711
"MDAMB157",1001,"AICA Ribonucleotide",8.381274
"TT2609C02",1001,"AICA Ribonucleotide",7.005739
"SF126",1001,"AICA Ribonucleotide",8.491532
"SNB75",1001,"AICA Ribonucleotide",7.809407
"SKMES1",1001,"AICA Ribonucleotide",8.800325
"UMUC3",1001,"AICA Ribonucleotide",7.624776
"ASH3",1001,"AICA Ribonucleotide",7.963207
"OV7",1001,"AICA Ribonucleotide",9.368775
"T24",1001,"AICA Ribonucleotide",8.03331
"NCIH2452",1001,"AICA Ribonucleotide",8.232305
"NCIH226",1001,"AICA Ribonucleotide",8.363397
"SKNSH",1001,"AICA Ribonucleotide",8.485017
"MDST8",1001,"AICA Ribonucleotide",5.830852
"IHH4",1001,"AICA Ribonucleotide",7.383998
"JHH2",1001,"AICA Ribonucleotide",8.068601
"MDAMB231",1001,"AICA Ribonucleotide",7.286458
"HCC44",1001,"AICA Ribonucleotide",7.446366
"CAL78",1001,"AICA Ribonucleotide",8.243501
"FTC133",1001,"AICA Ribonucleotide",9.827808
"OVCAR8",1001,"AICA Ribonucleotide",7.301621
"NCIH1703",1001,"AICA Ribonucleotide",8.438486
"8505C",1001,"AICA Ribonucleotide",7.954168
"42MGBA",1001,"AICA Ribonucleotide",7.562482
"MDAMB436",1001,"AICA Ribonucleotide",9.006315
"FLO1",1001,"AICA Ribonucleotide",10.231759
"U2OS",1001,"AICA Ribonucleotide",7.307549
"8305C",1001,"AICA Ribonucleotide",8.762416
"GB1",1001,"AICA Ribonucleotide",8.252125
"SW1783",1001,"AICA Ribonucleotide",8.120709
"GCT",1001,"AICA Ribonucleotide",7.984023
"ESS1",1001,"AICA Ribonucleotide",7.408517
"8MGBA",1001,"AICA Ribonucleotide",7.719985
"NCIH460",1001,"AICA Ribonucleotide",7.954678
"HOP62",1001,"AICA Ribonucleotide",7.865043
"ML1",1001,"AICA Ribonucleotide",7.928783
"GIMEN",1001,"AICA Ribonucleotide",9.653978
"A427",1001,"AICA Ribonucleotide",8.613178
"HT1080",1001,"AICA Ribonucleotide",7.375443
"HCC1395",1001,"AICA Ribonucleotide",9.543462
"MPP89",1001,"AICA Ribonucleotide",9.188092
"NCIH1563",1001,"AICA Ribonucleotide",10.649623
"SNU423",1001,"AICA Ribonucleotide",7.346192
"NCIH838",1001,"AICA Ribonucleotide",7.642328
"NCIH196",1001,"AICA Ribonucleotide",7.650711
"BHT101",1001,"AICA Ribonucleotide",7.904446
"CAS1",1001,"AICA Ribonucleotide",10.008084
"KNS42",1001,"AICA Ribonucleotide",8.138036
"TCCSUP",1001,"AICA Ribonucleotide",7.078326
"A172",1001,"AICA Ribonucleotide",9.876557
"MSTO211H",1001,"AICA Ribonucleotide",7.344075
"KS1",1001,"AICA Ribonucleotide",7.33508
"BCPAP",1001,"AICA Ribonucleotide",6.652363
"NCIH1792",1001,"AICA Ribonucleotide",7.205136
"RERFLCMS",1001,"AICA Ribonucleotide",10.129496
"SKUT1",1001,"AICA Ribonucleotide",8.275479
"DBTRG05MG",1001,"AICA Ribonucleotide",7.682687
"RO82W1",1001,"AICA Ribonucleotide",8.682119
"HOP92",1001,"AICA Ribonucleotide",7.756006
"CAL62",1001,"AICA Ribonucleotide",7.884932
"CAL120",1001,"AICA Ribonucleotide",6.596452
"ONS76",1001,"AICA Ribonucleotide",9.505855
"SW982",1001,"AICA Ribonucleotide",7.296345
"PATU8988T",1001,"AICA Ribonucleotide",7.059394
"SNU387",1001,"AICA Ribonucleotide",8.413488
"NCIH1299",1001,"AICA Ribonucleotide",8.475182
"RD",1001,"AICA Ribonucleotide",9.712814
"SW756",1001,"AICA Ribonucleotide",9.337149
"YH13",1001,"AICA Ribonucleotide",9.042915
"BT549",1001,"AICA Ribonucleotide",8.55666
"NCIH23",1001,"AICA Ribonucleotide",8.196349
"JHH6",1001,"AICA Ribonucleotide",5.898578
"RKN",1001,"AICA Ribonucleotide",10.178148
"NMCG1",1001,"AICA Ribonucleotide",8.7281
"639V",1001,"AICA Ribonucleotide",7.448695
"LOXIMVI",1001,"AICA Ribonucleotide",6.284274
"LK2",1001,"AICA Ribonucleotide",8.045565
"NCIH446",1001,"AICA Ribonucleotide",8.959532
"NCIH1963",1001,"AICA Ribonucleotide",9.430586
"TT",1001,"AICA Ribonucleotide",8.210575
"TT",1001,"AICA Ribonucleotide",6.098462
"EN",1001,"AICA Ribonucleotide",10.76116
"HGC27",1001,"AICA Ribonucleotide",7.046994
"DMS273",1001,"AICA Ribonucleotide",8.431895
"NCIH69",1001,"AICA Ribonucleotide",7.818893
"D283MED",1001,"AICA Ribonucleotide",7.62182
"DMS114",1001,"AICA Ribonucleotide",7.556882
"NCIH716",1001,"AICA Ribonucleotide",6.449451
"OACM51",1001,"AICA Ribonucleotide",8.02636
"ECC10",1001,"AICA Ribonucleotide",6.86234
"NCIH1048",1001,"AICA Ribonucleotide",8.195396
"SKES1",1001,"AICA Ribonucleotide",7.211636
"DU4475",1001,"AICA Ribonucleotide",6.663682
"SKPNDW",1001,"AICA Ribonucleotide",6.239094
"MHHES1",1001,"AICA Ribonucleotide",7.15505
"NCIH1876",1001,"AICA Ribonucleotide",8.248804
"NCIH2081",1001,"AICA Ribonucleotide",6.907647
"NCIH524",1001,"AICA Ribonucleotide",5.37703
"LU165",1001,"AICA Ribonucleotide",10.924515
"COLO684",1001,"AICA Ribonucleotide",6.703395
"CHP126",1001,"AICA Ribonucleotide",5.512893
"MESSA",1001,"AICA Ribonucleotide",7.962905
"NCIH211",1001,"AICA Ribonucleotide",7.173615
"NCIH810",1001,"AICA Ribonucleotide",8.552529
"SBC5",1001,"AICA Ribonucleotide",6.915873
"OVK18",1001,"AICA Ribonucleotide",7.777137
"NCIH661",1001,"AICA Ribonucleotide",7.829426
"NCIH146",1001,"AICA Ribonucleotide",7.33611
"BEN",1001,"AICA Ribonucleotide",7.731155
"NCIH1341",1001,"AICA Ribonucleotide",7.272854
"NCIH1092",1001,"AICA Ribonucleotide",7.482918
"22RV1",1001,"AICA Ribonucleotide",8.277564
"MHHNB11",1001,"AICA Ribonucleotide",6.423398
"COLO668",1001,"AICA Ribonucleotide",8.902606
"LU135",1001,"AICA Ribonucleotide",7.53291
"G402",1001,"AICA Ribonucleotide",7.634953
"CADOES1",1001,"AICA Ribonucleotide",8.422191
"LU134A",1001,"AICA Ribonucleotide",7.506473
"TC71",1001,"AICA Ribonucleotide",5.960842
"SIMA",1001,"AICA Ribonucleotide",8.653039
"KPNYN",1001,"AICA Ribonucleotide",7.502949
"RH41",1001,"AICA Ribonucleotide",7.392264
"CORL88",1001,"AICA Ribonucleotide",8.50983
"SKNFI",1001,"AICA Ribonucleotide",10.307774
"CHP212",1001,"AICA Ribonucleotide",9.233315
"NCIH1155",1001,"AICA Ribonucleotide",7.146394
"DMS53",1001,"AICA Ribonucleotide",10.400045
"SNU1",1001,"AICA Ribonucleotide",7.003701
"PA1",1001,"AICA Ribonucleotide",7.2666
"NB1",1001,"AICA Ribonucleotide",7.521242
"NH12",1001,"AICA Ribonucleotide",8.687299
"NCIH1105",1001,"AICA Ribonucleotide",9.022953
"SHP77",1001,"AICA Ribonucleotide",8.405646
"A204",1001,"AICA Ribonucleotide",8.484782
"NCIH209",1001,"AICA Ribonucleotide",7.70755
"HEMCSS",1001,"AICA Ribonucleotide",10.6858
"NCIH526",1001,"AICA Ribonucleotide",5.291975
"MFE296",1001,"AICA Ribonucleotide",8.142671
"NCIH520",1001,"AICA Ribonucleotide",6.827574
"NCIH841",1001,"AICA Ribonucleotide",10.056019
"TOV112D",1001,"AICA Ribonucleotide",8.971543
"SKNDZ",1001,"AICA Ribonucleotide",8.136927
"NCIH82",1001,"AICA Ribonucleotide",6.254175
"A2780",1001,"AICA Ribonucleotide",7.608179
"SNU398",1001,"AICA Ribonucleotide",7.987371
"NCIH2227",1001,"AICA Ribonucleotide",8.238729
"SW13",1001,"AICA Ribonucleotide",9.485428
"KELLY",1001,"AICA Ribonucleotide",7.715807
"AN3CA",1001,"AICA Ribonucleotide",8.097614
"CORL95",1001,"AICA Ribonucleotide",9.145257
"CORL279",1001,"AICA Ribonucleotide",7.760045
"GOTO",1001,"AICA Ribonucleotide",7.967928
"NCIH1694",1001,"AICA Ribonucleotide",8.357622
"KYM1",1001,"AICA Ribonucleotide",7.151743
"DMS79",1001,"AICA Ribonucleotide",8.935232
"QGP1",1001,"AICA Ribonucleotide",9.01921
"NCIH2029",1001,"AICA Ribonucleotide",9.729021
"C33A",1001,"AICA Ribonucleotide",9.191896
"NCIH1836",1001,"AICA Ribonucleotide",8.463549
"TGW",1001,"AICA Ribonucleotide",6.156988
"NCIH1581",1001,"AICA Ribonucleotide",7.797451
"COLO824",1001,"AICA Ribonucleotide",7.834743
"PFSK1",1001,"AICA Ribonucleotide",8.666223
"NCIH1436",1001,"AICA Ribonucleotide",9.485241
"A673",1001,"AICA Ribonucleotide",7.56264
"DEL",1001,"AICA Ribonucleotide",6.735523
"L428",1001,"AICA Ribonucleotide",7.742333
"MHHCALL2",1001,"AICA Ribonucleotide",6.861631
"REH",1001,"AICA Ribonucleotide",7.001755
"HT",1001,"AICA Ribonucleotide",6.755287
"RS411",1001,"AICA Ribonucleotide",5.586744
"NUDUL1",1001,"AICA Ribonucleotide",5.460973
"KMS12BM",1001,"AICA Ribonucleotide",5.810623
"VAL",1001,"AICA Ribonucleotide",7.685528
"L1236",1001,"AICA Ribonucleotide",3.302372
"OCILY19",1001,"AICA Ribonucleotide",6.242748
"WSUNHL",1001,"AICA Ribonucleotide",7.098841
"KMH2",1001,"AICA Ribonucleotide",6.851751
"KMH2",1001,"AICA Ribonucleotide",7.439425
"697",1001,"AICA Ribonucleotide",6.011152
"SUPM2",1001,"AICA Ribonucleotide",5.989037
"NAMALWA",1001,"AICA Ribonucleotide",7.690257
"LP1",1001,"AICA Ribonucleotide",8.164181
"KMS11",1001,"AICA Ribonucleotide",6.870486
"PF382",1001,"AICA Ribonucleotide",7.254712
"MM1S",1001,"AICA Ribonucleotide",6.272804
"MC116",1001,"AICA Ribonucleotide",7.292379
"CA46",1001,"AICA Ribonucleotide",7.723484
"DB",1001,"AICA Ribonucleotide",4.852223
"OCILY7",1001,"AICA Ribonucleotide",6.911434
"OPM2",1001,"AICA Ribonucleotide",7.087329
"KARPAS620",1001,"AICA Ribonucleotide",7.103728
"HH",1001,"AICA Ribonucleotide",5.526548
"BV173",1001,"AICA Ribonucleotide",4.955955
"RL",1001,"AICA Ribonucleotide",6.973842
"DOHH2",1001,"AICA Ribonucleotide",6.942635
"EJM",1001,"AICA Ribonucleotide",6.750464
"GA10",1001,"AICA Ribonucleotide",6.759434
"NCIH929",1001,"AICA Ribonucleotide",6.232413
"KOPN8",1001,"AICA Ribonucleotide",5.933265
"L540",1001,"AICA Ribonucleotide",6.503705
"A3KAW",1001,"AICA Ribonucleotide",5.490205
"RCHACV",1001,"AICA Ribonucleotide",4.752108
"MOLT16",1001,"AICA Ribonucleotide",6.532072
"RPMI8402",1001,"AICA Ribonucleotide",6.715106
"AMO1",1001,"AICA Ribonucleotide",6.403371
"SUDHL6",1001,"AICA Ribonucleotide",6.712311
"JJN3",1001,"AICA Ribonucleotide",6.917048
"JVM2",1001,"AICA Ribonucleotide",8.64895
"P12ICHIKAWA",1001,"AICA Ribonucleotide",7.37854
"KARPAS422",1001,"AICA Ribonucleotide",6.399063
"RPMI8226",1001,"AICA Ribonucleotide",5.349031
"SUDHL5",1001,"AICA Ribonucleotide",6.322953
"MOLP8",1001,"AICA Ribonucleotide",6.486337
"KE37",1001,"AICA Ribonucleotide",6.385397
"LOUCY",1001,"AICA Ribonucleotide",7.427752
"SUDHL4",1001,"AICA Ribonucleotide",8.303912
"SUPT1",1001,"AICA Ribonucleotide",7.49065
"P30OHK",1001,"AICA Ribonucleotide",5.253791
"DND41",1001,"AICA Ribonucleotide",6.031938
"NALM6",1001,"AICA Ribonucleotide",5.218289
"BL41",1001,"AICA Ribonucleotide",5.930119
"GRANTA519",1001,"AICA Ribonucleotide",6.886988
"HDLM2",1001,"AICA Ribonucleotide",6.347204
"WSUDLCL2",1001,"AICA Ribonucleotide",7.988629
"SLVL",1001,"AICA Ribonucleotide",6.718083
"JM1",1001,"AICA Ribonucleotide",6.479353
"SKMM2",1001,"AICA Ribonucleotide",7.038772
"KARPAS299",1001,"AICA Ribonucleotide",7.603464
"JVM3",1001,"AICA Ribonucleotide",7.185569
"EHEB",1001,"AICA Ribonucleotide",6.780353
"L363",1001,"AICA Ribonucleotide",5.556115
"JEKO1",1001,"AICA Ribonucleotide",5.269618
"ST486",1001,"AICA Ribonucleotide",6.18196
"ALLSIL",1001,"AICA Ribonucleotide",5.894707
"RCK8",1001,"AICA Ribonucleotide",7.145156
"SUPB15",1001,"AICA Ribonucleotide",5.374276
"CMLT1",1001,"AICA Ribonucleotide",6.229551
"SW837",1001,"AICA Ribonucleotide",8.232609
"AGS",1001,"AICA Ribonucleotide",8.018537
"HT29",1001,"AICA Ribonucleotide",8.203481
"CW2",1001,"AICA Ribonucleotide",8.599901
"HT55",1001,"AICA Ribonucleotide",9.476575
"SNU81",1001,"AICA Ribonucleotide",8.164949
"CAPAN1",1001,"AICA Ribonucleotide",8.794477
"NCIH508",1001,"AICA Ribonucleotide",7.360526
"CL11",1001,"AICA Ribonucleotide",9.631614
"SNUC1",1001,"AICA Ribonucleotide",8.26782
"TGBC11TKB",1001,"AICA Ribonucleotide",8.196256
"HCT15",1001,"AICA Ribonucleotide",7.92322
"SNU61",1001,"AICA Ribonucleotide",9.040671
"RCM1",1001,"AICA Ribonucleotide",9.148273
"SKCO1",1001,"AICA Ribonucleotide",9.813975
"T84",1001,"AICA Ribonucleotide",9.144593
"HPAFII",1001,"AICA Ribonucleotide",8.438194
"NUGC4",1001,"AICA Ribonucleotide",7.87586
"SNU5",1001,"AICA Ribonucleotide",8.749236
"KATOIII",1001,"AICA Ribonucleotide",7.510967
